idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
454,7019472922.0,5739636.0,12.5,0.0,157.3
455,7081911331.0,5820820.0,12.5,0.0,162.6
456,7052645748.0,5695636.0,10.5,0.0,156.4
457,6999185593.0,5893236.0,10.6,0.0,159.6
458,6939984365.0,5760693.0,14.5,0.0,160.4
459,6984116256.0,5724213.0,8.5,6.0,158.6
460,7048964764.0,5808661.0,12.4,0.7,159.3
461,7033859966.0,5871189.0,8.5,0.0,158.9
462,7010679712.0,6071349.0,12.5,0.0,157.7
463,6980394076.0,5759382.0,10.6,0.0,158.0
464,6970709507.0,5839733.0,14.7,0.0,161.9
465,6944134522.0,5790614.0,10.5,0.8,158.8
466,6981920404.0,5827062.0,10.4,0.0,156.7
467,6940746027.0,5767798.0,22.4,0.7,165.0
468,7105248635.0,6391285.0,12.4,0.0,152.1
469,2389048676.0,5892854.0,26.4,0.0,171.4
470,2149104913.0,5795766.0,28.4,0.0,179.5
471,3288702516.0,5854998.0,27.2,0.0,172.5
472,2635453319.0,5833942.0,28.5,0.0,178.7
473,3319964107.0,5954550.0,49.4,0.0,188.6
474,3239602992.0,5839414.0,28.9,0.0,173.5
475,1760236534.0,5872630.0,54.5,0.0,199.6
476,2026176893.0,5877431.0,31.1,0.0,178.2
477,2729132786.0,5903702.0,26.8,0.0,175.1
478,2132157559.0,5802871.0,45.3,0.0,189.9
479,2309645040.0,5861015.0,32.6,0.0,176.4
480,1928338005.0,5859446.0,25.7,0.0,168.7
481,2066241259.0,5856983.0,24.8,0.0,171.1
482,2552419237.0,5906519.0,22.6,0.0,174.0
483,2263408627.0,5820791.0,26.9,0.0,179.1
484,2096454496.0,5815511.0,18.8,0.0,164.7
485,2082147714.0,5907351.0,24.8,0.0,173.5
486,2299109248.0,5912023.0,29.0,0.0,174.3
487,4259424283.0,3208891.0,10.6,0.0,165.1
488,4171539206.0,3173723.0,8.5,0.0,162.5
489,4186980486.0,3275354.0,32.5,0.0,177.6
490,4136778324.0,3330586.0,14.5,0.0,157.9
491,4139832483.0,3279418.0,34.6,0.0,179.7
492,4219725742.0,3211867.0,12.5,0.0,161.4
493,4173013163.0,3285562.0,10.6,0.0,152.6
494,4214438449.0,3336059.0,10.1,0.0,159.5
495,4153773758.0,3259546.0,12.5,0.0,161.5
496,4132452262.0,3352187.0,22.5,12.0,176.0
497,4195356932.0,3266907.0,12.4,0.0,159.7
